Longitude		Latitude		Num Spots Available		Total Spots
57.44				44.72				9				10
81.09				58.47				71				91
33.89				91.81				18				19
33.89				46.02				0				18
47.16				44.58				60				70
17.02				88.89				6				12
23.47				9.224				30				58
65.46				16.87				2				49
11.64				56.92				8				29
85.97				42.15				48				53
98.47				79.51				85				97
35.06				24.52				4				98
33.54				35.84				0				13
56.18				59.54				39				86
23.21				15.27				34				47
32.62				52.88				84				93
10.7				77.34				73				98
76.98				56.04				45				76
51.44				73.59				21				81
81.12				22.57				5				32
57.39				22.61				22				35
72.17				83.24				21				27
78.31				74.12				2				23
73.63				11.79				5				22
34.74				18.77				1				22
84.38				90.39				31				35
79.14				10.78				10				30
48.62				73.44				16				26
23.96				30.27				20				23
35.56				6.912				12				99
57.88				61.56				20				54
46.55				24.22				24				68
78				20.3				73				84
26.35				90.44				13				71
45.04				53.38				0				18
70.87				39.96				68				86
66.74				19.73				29				55
18.42				34.79				49				54
62.58				63.38				41				72
16.69				35.24				18				20
33.44				94.91				30				96
42.43				64.28				23				89
66.16				47.47				34				46
67.9				74.04				27				83
72.15				67.88				36				54
92.3				91.23				27				73
95.07				38.62				5				41
15.62				51.82				30				43
85.88				95.76				14				22
17.97				5.684				10				33
61.37				70.91				10				41
17.12				27.38				34				88
99.09				47.25				20				23
89.5				33.32				4				37
80.55				65.25				45				79
31.98				35.39				14				52
71.9				33.22				31				53
77.99				99.02				19				50
79.79				62.57				1				66
69.55				56.63				54				65
9.382				81.54				1				60
44.1				66.36				2				15
77.73				18.05				0				63
14.04				66.36				1				45
89.36				45.64				16				32
41.72				37.07				21				31
99.22				18.43				41				47
48.39				54.17				1				98
57.52				85.03				8				19
59.81				51.04				8				98
25.62				12.95				10				27
7.986				13.53				39				43
89.41				37.73				63				87
64.61				50.42				29				33
41.9				35.46				17				18
42.05				85.92				37				38
51.56				59.3				33				38
32.24				19.26				10				11
10.93				20.31				27				35
92.61				19.86				20				65
14.49				8.448				4				70
82.88				5.51				63				69
13.62				33.52				13				75
49.21				3.794				7				36
79.88				56.2				6				12
47.77				59.98				2				52
75.97				49.79				21				74
8.203				73.74				66				67
61.29				67.74				14				31
10.92				87.69				46				53
80.6				32.54				26				44
86.4				49.31				28				45
21.99				5.624				4				53
87.74				27.49				27				40
4.07				9.924				37				68
8.992				22.33				68				88
79.84				52.7				2				62
39.85				85.71				48				57
35.12				20.85				4				25
36.51				55.65				7				34
90.77				66.24				39				76
19.09				1.465				41				79
12.92				3.592				45				49
45.12				98.1				10				89
40.29				14.09				46				49
19.86				45.09				51				89
64.23				20.3				3				11
61.19				78.06				14				36
63.04				32.64				14				75
22.4				90.02				16				53
48.44				32.98				15				85
42.48				79.65				7				84
45.93				10.35				12				61
87.61				68.06				56				63
12.5				65.77				24				72
23.78				10.59				65				81
66.43				45.91				45				64
36.6				80.04				57				77
1.995				23.96				31				37
86.58				35.96				1				84
25.17				48.72				25				54
3.581				81.97				21				51
67.36				85.71				23				78
24.51				57.61				63				90
26.84				28.85				2				19
18.44				86.7				9				98
96.79				82.62				39				84
31.67				44.86				0				34
32.39				27.22				10				74
43.65				48.16				61				86
97.21				43.28				74				99
48.23				93.9				43				87
65.61				14.38				16				39
31.94				87				18				33
71.64				86.41				25				36
61.81				18.32				48				70
24.13				28.67				34				72
20.9				39.57				5				30
70.37				45.27				14				28
34.43				16.43				52				98
64.93				44.94				8				12
7.068				86.98				47				63
73.02				68.83				4				21
0.05856				84.18				2				17
50.33				72.7				58				78
20.67				6.119				25				91
84.03				72.53				6				18
87.92				7.542				44				47
98.26				4.02				21				22
98.78				86.5				13				16
59.6				59.92				29				53
94.35				5.142				11				62
80.64				22.34				71				75
12.78				61.01				62				63
75.61				7.749				5				14
71.54				32.84				15				70
90.5				44.14				3				26
96.91				93.39				16				60
42.92				2.41				63				90
7.094				28.22				48				95
79.48				86.53				1				39
74.5				96.59				42				80
66.27				52.47				10				11
23.02				1.669				11				66
49.12				5.54				7				12
1.84				27.58				8				77
68.48				23.76				4				30
80.96				92.6				3				11
12.92				73.42				17				27
40.6				86.95				36				43
52.58				62.31				84				87
73.63				39.88				40				64
75.93				73.66				4				58
97.74				53.12				36				75
16.44				28.51				46				95
95.58				95.7				55				66
27.44				29.18				45				69
65.19				84.5				6				18
38.43				24.85				45				80
51.54				94.25				2				37
43.47				23.39				37				97
63.37				37.7				29				48
14.47				18.7				78				80
73.23				23.3				14				15
93.81				15.95				21				60
29.42				94.33				20				31
34.01				53.79				12				92
57.81				92.44				15				20
82.88				15.58				19				70
67.02				38.57				17				26
8.67				18.62				45				66
9.043				93.12				30				67
7.068				93.66				1				44
68.5				45.5				1				54
14.75				67.45				75				89
28.03				50.91				10				29
78.7				33.46				10				31
53.93				22.05				5				82
94.6				64.83				18				48
14.27				84.27				6				53

